,clust,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,0,1,2,3,4,5,6,7,8,9,10,11,No,Yes,No,Yes,No,Yes,No,Yes,Cable,DSL,Fiber Optic,None,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
14,1,13,32.68,11,106.9,1364.3,0.0,10,424.84,1799.1399999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1
15,1,16,9.43,9,94.45,1511.2,0.0,0,150.88,1662.08,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
16,0,8,1.78,7,74.5,606.55,0.0,0,14.24,620.79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
17,0,24,30.87,15,76.1,1712.7,0.0,0,740.88,2453.58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
18,1,4,31.61,2,95.45,396.1,0.0,0,126.44,522.54,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
19,0,32,47.34,10,74.9,2303.35,0.0,0,1514.88,3818.23,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
20,1,24,16.1,12,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
21,1,54,12.08,5,82.45,4350.1,0.0,0,652.32,5002.42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
22,0,2,13.17,10,70.35,139.05,0.0,0,26.34,165.39000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
23,0,21,0.0,8,41.9,840.1,0.0,0,0.0,840.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
24,0,27,0.0,13,30.75,805.1,0.0,140,0.0,945.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
25,2,11,29.54,0,19.95,214.75,0.0,0,324.94,539.69,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
26,0,55,42.82,27,85.45,4874.7,0.0,90,2355.1,7319.799999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
27,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004,261.36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
28,0,1,35.09,17,75.3,75.3,0.0,20,35.09,130.39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
29,0,5,0.0,26,28.45,131.05,0.0,0,0.0,131.05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
30,1,20,48.73,12,94.1,1782.4,0.0,80,974.5999999999999,2837.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1
31,0,5,45.76,22,74.35,334.8,0.0,0,228.79999999999998,563.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
32,0,27,7.02,25,75.2,1929.35,0.0,0,189.54,2118.89,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
33,0,4,48.35,24,89.2,346.2,0.0,0,193.4,539.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
34,0,1,45.81,21,85.7,85.7,0.0,0,45.81,131.51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
35,1,65,18.39,28,105.25,6786.4,0.0,0,1195.3500000000001,7981.75,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
36,0,49,22.92,14,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
37,1,43,14.52,5,110.75,4687.9,0.0,0,624.36,5312.259999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
38,1,56,48.8,12,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
39,1,20,5.31,10,94.55,1899.65,0.0,0,106.19999999999999,2005.8500000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
40,1,2,47.47,19,89.5,161.5,0.0,0,94.94,256.44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0
41,2,8,27.95,0,19.65,164.3,0.0,0,223.6,387.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
42,1,52,0.0,18,49.15,2550.9,0.0,30,0.0,2580.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1
43,0,2,43.99,27,49.25,91.1,0.0,0,87.98,179.07999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
44,1,33,27.78,8,94.5,3105.55,0.0,0,916.74,4022.29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
45,0,30,45.88,19,91.7,2758.15,0.0,0,1376.4,4134.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
46,1,20,44.44,13,98.55,1842.8,0.0,120,888.8,2851.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
47,1,46,2.37,20,110.0,4874.8,0.0,0,109.02000000000001,4983.820000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
48,1,7,21.91,11,95.6,644.35,0.0,0,153.37,797.72,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
49,0,4,36.93,18,78.85,292.8,0.0,0,147.72,440.52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
50,1,55,37.38,7,100.0,5509.3,0.0,100,2055.9,7665.200000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
51,0,20,5.37,24,73.65,1463.5,0.0,0,107.4,1570.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
52,1,9,48.71,15,100.5,918.6,0.0,0,438.39,1356.99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
53,0,10,5.46,24,72.85,688.65,0.0,30,54.6,773.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
54,0,1,36.92,6,73.55,73.55,0.0,0,36.92,110.47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
55,0,3,41.9,11,79.4,205.05,0.0,0,125.69999999999999,330.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
56,0,4,6.68,17,84.6,360.1,0.0,0,26.72,386.82000000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
57,1,35,20.83,19,99.05,3395.8,0.0,120,729.05,4244.85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
58,0,2,26.62,11,44.95,85.15,0.0,0,53.24,138.39000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
59,1,8,11.57,27,100.3,832.35,0.0,0,92.56,924.9100000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
60,0,44,0.0,28,30.35,1359.7,0.0,0,0.0,1359.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
61,1,62,7.11,16,103.75,6383.35,0.0,0,440.82,6824.17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
62,0,33,33.19,15,80.6,2656.5,0.0,0,1095.27,3751.77,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
63,1,4,49.5,23,94.3,424.45,0.0,0,198.0,622.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
64,0,27,10.6,23,75.5,1893.95,0.0,0,286.2,2180.15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
65,1,8,40.45,29,100.6,819.4,0.0,0,323.6,1143.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
66,0,3,25.77,2,88.3,273.75,0.0,0,77.31,351.06,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
67,1,8,42.93,9,92.1,729.95,0.0,0,343.44,1073.39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
68,0,14,11.31,24,90.45,1266.1,0.0,0,158.34,1424.4399999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
69,0,12,0.0,10,43.65,526.95,0.0,0,0.0,526.95,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
70,0,13,40.37,21,74.3,940.35,0.0,0,524.81,1465.1599999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
71,0,11,3.96,27,89.7,1047.7,0.0,0,43.56,1091.26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
72,1,17,28.18,16,100.45,1622.45,0.0,0,479.06,2101.51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
73,1,39,33.25,26,105.65,4284.8,0.0,0,1296.75,5581.55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
74,1,11,17.25,27,104.05,1133.65,0.0,0,189.75,1323.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
75,0,3,3.29,9,80.4,224.05,0.0,0,9.870000000000001,233.92000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
76,0,21,34.62,14,60.05,1236.15,0.0,0,727.02,1963.17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
77,1,16,38.75,16,96.15,1529.2,0.0,0,620.0,2149.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
78,1,46,6.13,30,95.25,4424.2,0.0,0,281.98,4706.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
79,1,68,24.13,24,89.6,6127.6,0.0,0,1640.84,7768.4400000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
80,0,7,13.63,27,89.5,676.7,0.0,0,95.41000000000001,772.11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
81,0,15,45.25,22,85.6,1345.55,0.0,0,678.75,2024.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
82,0,16,19.18,22,86.6,1281.0,0.0,0,306.88,1587.88,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
83,0,1,29.68,18,69.25,69.25,0.0,0,29.68,98.93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
84,0,1,0.0,5,25.2,25.2,0.0,0,0.0,25.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
85,1,13,19.03,24,95.05,1290.0,0.0,0,247.39000000000001,1537.39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
86,0,1,20.06,24,79.2,79.2,0.0,0,20.06,99.26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
87,1,34,2.88,4,94.25,3217.55,0.0,0,97.92,3315.4700000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
88,1,4,12.68,10,99.8,442.85,0.0,0,50.72,493.57000000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
89,1,2,19.27,18,93.85,170.85,0.0,0,38.54,209.39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
90,0,9,30.8,18,84.4,732.5,0.0,0,277.2,1009.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
91,0,5,42.33,9,75.55,349.65,0.0,0,211.64999999999998,561.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
92,1,22,40.18,8,96.7,2082.95,0.0,100,883.96,3066.91,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
93,0,19,39.97,9,88.2,1775.8,0.0,0,759.43,2535.23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
94,0,15,46.38,19,75.65,1146.65,0.0,0,695.7,1842.3500000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
95,0,1,11.34,20,74.7,74.7,0.0,0,11.34,86.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
96,0,1,0.0,26,25.8,25.8,0.0,20,0.0,45.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
97,1,10,41.37,14,95.35,898.35,0.0,0,413.7,1312.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1
98,0,3,30.14,6,45.0,127.1,0.0,10,90.42,227.51999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
99,0,12,6.97,19,80.45,950.2,0.0,0,83.64,1033.8400000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
100,0,2,6.51,11,74.7,165.4,0.0,0,13.02,178.42000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
101,0,1,49.6,20,88.8,88.8,0.0,10,49.6,148.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
102,0,13,1.47,5,89.05,1169.35,0.0,0,19.11,1188.4599999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1
103,1,23,31.17,23,94.75,2293.6,0.0,0,716.9100000000001,3010.51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
104,0,17,36.82,6,85.35,1463.45,0.0,0,625.94,2089.3900000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
105,0,17,40.93,2,45.05,770.6,0.0,0,695.81,1466.4099999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
106,0,42,9.53,17,84.65,3541.35,0.0,0,400.26,3941.6099999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
107,0,1,42.3,16,79.1,79.1,0.0,0,42.3,121.39999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
108,0,1,39.78,12,50.15,50.15,0.0,0,39.78,89.93,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
109,0,1,34.51,15,69.6,69.6,0.0,0,34.51,104.10999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
110,1,41,27.95,23,113.2,4689.5,0.0,0,1145.95,5835.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
111,1,13,26.11,4,90.5,1201.15,29.84,140,339.43,1650.7400000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1
